SBD,Cụm thi,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lí,HóaHọc,Sinh Học,Lịch Sử,Địa Lý,Giáo dục công dân
01000001,Cụm thi: 01 - Sở GDĐT Hà Nội,8.40,6.75,8.00,6.00,5.25,5.00,,,
01000002,Cụm thi: 01 - Sở GDĐT Hà Nội,8.60,8.50,7.20,,,,7.25,6.00,8.00
01000003,Cụm thi: 01 - Sở GDĐT Hà Nội,8.20,8.75,8.20,,,,7.25,7.25,8.75
01000004,Cụm thi: 01 - Sở GDĐT Hà Nội,4.80,8.50,7.40,,,,7.00,6.00,7.50
01000005,Cụm thi: 01 - Sở GDĐT Hà Nội,8.60,9.00,7.80,,,,9.00,8.75,8.50
01000006,Cụm thi: 01 - Sở GDĐT Hà Nội,5.80,8.75,7.80,,,,7.75,6.75,7.50
01000007,Cụm thi: 01 - Sở GDĐT Hà Nội,6.00,7.50,,,,,6.75,7.00,7.00
01000008,Cụm thi: 01 - Sở GDĐT Hà Nội,8.20,9.00,9.00,,,,8.00,8.25,10.00
01000009,Cụm thi: 01 - Sở GDĐT Hà Nội,8.20,8.00,8.60,8.25,4.25,6.00,,,
01000010,Cụm thi: 01 - Sở GDĐT Hà Nội,7.40,9.00,9.60,,,,8.25,6.50,8.25
01000011,Cụm thi: 01 - Sở GDĐT Hà Nội,7.20,8.50,9.00,7.75,6.75,6.25,,,
01000012,Cụm thi: 01 - Sở GDĐT Hà Nội,8.20,8.00,8.20,,,,7.75,9.50,9.00
01000013,Cụm thi: 01 - Sở GDĐT Hà Nội,5.20,8.00,8.60,,,,7.50,5.75,8.00
01000014,Cụm thi: 01 - Sở GDĐT Hà Nội,7.60,9.00,7.40,,,,7.25,7.50,7.50
01000015,Cụm thi: 01 - Sở GDĐT Hà Nội,7.60,9.00,7.60,,,,7.75,8.50,8.75
01000016,Cụm thi: 01 - Sở GDĐT Hà Nội,6.00,5.75,6.80,,,,7.75,7.00,7.75
01000017,Cụm thi: 01 - Sở GDĐT Hà Nội,7.00,8.75,7.80,3.75,7.50,7.25,,,
01000018,Cụm thi: 01 - Sở GDĐT Hà Nội,8.20,6.00,9.00,7.75,6.75,6.75,,,
01000019,Cụm thi: 01 - Sở GDĐT Hà Nội,2.80,4.25,,,,,5.75,7.00,
01000020,Cụm thi: 01 - Sở GDĐT Hà Nội,7.60,8.50,9.20,,,,7.00,8.00,7.75
01000021,Cụm thi: 01 - Sở GDĐT Hà Nội,8.40,8.50,8.60,2.50,8.75,7.75,,,
01000022,Cụm thi: 01 - Sở GDĐT Hà Nội,,4.25,,,,,5.75,6.25,
01000023,Cụm thi: 01 - Sở GDĐT Hà Nội,8.80,9.25,8.80,8.50,6.50,7.00,,,
01000024,Cụm thi: 01 - Sở GDĐT Hà Nội,8.40,9.50,8.80,,,,7.25,8.75,8.25
01000025,Cụm thi: 01 - Sở GDĐT Hà Nội,7.80,9.25,8.40,,,,7.00,7.50,7.75
01000026,Cụm thi: 01 - Sở GDĐT Hà Nội,7.20,8.25,,7.50,8.75,8.75,,,
01000027,Cụm thi: 01 - Sở GDĐT Hà Nội,8.20,8.75,8.00,6.25,9.00,5.75,,,
01000028,Cụm thi: 01 - Sở GDĐT Hà Nội,8.80,8.50,9.00,,,,8.25,8.50,8.75
01000029,Cụm thi: 01 - Sở GDĐT Hà Nội,,6.25,,,,,5.00,5.50,
01000030,Cụm thi: 01 - Sở GDĐT Hà Nội,8.00,7.75,7.40,7.00,2.00,3.75,,,
01000031,Cụm thi: 01 - Sở GDĐT Hà Nội,6.80,9.50,8.40,,,,8.50,7.75,9.00
01000032,Cụm thi: 01 - Sở GDĐT Hà Nội,8.20,8.75,7.00,,,,8.75,9.00,8.50
